angry0,angry1,box0,box1,disgust0,disgust1,fear0,fear1,happy0,happy1,neutral0,neutral1,sad0,sad1,surprise0,surprise1
0.08,,"[168, 261, 161, 194]",,0.0,,0.0,,0.04,,0.85,,0.02,,0.0,
0.2,,"[172, 266, 153, 190]",,0.0,,0.02,,0.04,,0.71,,0.03,,0.0,
0.15,,"[175, 268, 150, 189]",,0.0,,0.01,,0.04,,0.77,,0.03,,0.0,
0.11,,"[175, 269, 153, 190]",,0.0,,0.02,,0.13,,0.72,,0.02,,0.0,
0.11,,"[176, 268, 157, 194]",,0.0,,0.02,,0.07,,0.79,,0.02,,0.0,
0.07,,"[176, 272, 155, 189]",,0.0,,0.01,,0.07,,0.82,,0.03,,0.0,
0.06,,"[175, 272, 153, 190]",,0.0,,0.01,,0.1,,0.78,,0.05,,0.0,
0.05,,"[173, 273, 153, 190]",,0.0,,0.01,,0.2,,0.72,,0.02,,0.0,
0.08,,"[173, 278, 154, 186]",,0.0,,0.01,,0.2,,0.68,,0.02,,0.0,
0.05,,"[171, 277, 155, 187]",,0.0,,0.01,,0.2,,0.73,,0.01,,0.0,
0.08,,"[170, 277, 153, 188]",,0.0,,0.01,,0.11,,0.78,,0.01,,0.0,
0.09,,"[168, 278, 152, 187]",,0.0,,0.01,,0.09,,0.79,,0.02,,0.0,
0.12,,"[167, 278, 152, 188]",,0.0,,0.02,,0.14,,0.69,,0.02,,0.01,
0.11,,"[166, 278, 152, 187]",,0.0,,0.02,,0.23,,0.61,,0.02,,0.01,
0.1,,"[166, 278, 153, 188]",,0.0,,0.02,,0.22,,0.64,,0.02,,0.0,
0.08,,"[164, 278, 155, 189]",,0.0,,0.02,,0.21,,0.66,,0.02,,0.0,
0.09,,"[163, 278, 155, 189]",,0.0,,0.02,,0.23,,0.65,,0.01,,0.0,
0.06,,"[162, 277, 157, 191]",,0.0,,0.01,,0.23,,0.69,,0.01,,0.0,
0.06,,"[161, 276, 158, 193]",,0.0,,0.01,,0.14,,0.77,,0.01,,0.0,
0.06,,"[161, 275, 157, 193]",,0.0,,0.01,,0.21,,0.71,,0.01,,0.0,
0.07,,"[159, 274, 160, 194]",,0.0,,0.01,,0.18,,0.72,,0.01,,0.0,
0.09,,"[158, 274, 159, 193]",,0.0,,0.01,,0.2,,0.68,,0.01,,0.0,
0.08,,"[158, 272, 159, 193]",,0.0,,0.01,,0.26,,0.64,,0.01,,0.0,
0.07,,"[158, 270, 159, 191]",,0.0,,0.02,,0.48,,0.41,,0.01,,0.01,
0.06,,"[157, 267, 160, 194]",,0.0,,0.01,,0.28,,0.63,,0.01,,0.0,
0.04,,"[154, 259, 164, 200]",,0.0,,0.01,,0.38,,0.56,,0.01,,0.0,
0.02,,"[158, 261, 156, 192]",,0.0,,0.01,,0.58,,0.37,,0.01,,0.0,
0.01,,"[159, 258, 155, 191]",,0.0,,0.01,,0.58,,0.4,,0.01,,0.0,
0.01,,"[158, 254, 158, 196]",,0.0,,0.01,,0.62,,0.36,,0.0,,0.0,
0.01,,"[157, 251, 164, 203]",,0.0,,0.0,,0.62,,0.36,,0.0,,0.0,
0.02,,"[158, 245, 165, 207]",,0.0,,0.0,,0.67,,0.31,,0.0,,0.0,
0.01,,"[158, 245, 164, 202]",,0.0,,0.0,,0.66,,0.32,,0.0,,0.0,
0.0,,"[158, 243, 166, 204]",,0.0,,0.0,,0.83,,0.16,,0.0,,0.0,
0.01,,"[160, 241, 164, 202]",,0.0,,0.0,,0.72,,0.27,,0.0,,0.0,
0.01,,"[162, 239, 165, 202]",,0.0,,0.0,,0.63,,0.35,,0.0,,0.0,
0.01,,"[165, 238, 165, 204]",,0.0,,0.0,,0.8,,0.19,,0.0,,0.0,
0.01,,"[168, 234, 165, 207]",,0.0,,0.0,,0.82,,0.17,,0.0,,0.0,
0.04,,"[168, 228, 167, 208]",,0.0,,0.01,,0.35,,0.58,,0.02,,0.0,
0.03,,"[172, 227, 166, 210]",,0.0,,0.01,,0.48,,0.47,,0.01,,0.0,
0.01,,"[178, 227, 164, 208]",,0.0,,0.01,,0.51,,0.46,,0.01,,0.0,
0.01,,"[180, 226, 167, 209]",,0.0,,0.01,,0.66,,0.32,,0.01,,0.0,
0.01,,"[184, 224, 165, 210]",,0.0,,0.0,,0.65,,0.33,,0.01,,0.0,
0.01,,"[187, 224, 166, 210]",,0.0,,0.0,,0.67,,0.32,,0.0,,0.0,
0.0,,"[189, 223, 164, 208]",,0.0,,0.0,,0.88,,0.11,,0.0,,0.0,
0.0,,"[192, 214, 169, 213]",,0.0,,0.0,,0.79,,0.2,,0.0,,0.0,
0.02,,"[194, 215, 170, 215]",,0.0,,0.01,,0.49,,0.48,,0.0,,0.0,
0.02,,"[197, 214, 170, 217]",,0.0,,0.01,,0.39,,0.57,,0.01,,0.0,
0.02,,"[201, 213, 170, 216]",,0.0,,0.0,,0.59,,0.38,,0.0,,0.0,
0.01,,"[203, 213, 171, 217]",,0.0,,0.0,,0.59,,0.39,,0.0,,0.0,
0.02,,"[202, 211, 167, 217]",,0.0,,0.01,,0.38,,0.58,,0.01,,0.0,
0.04,,"[205, 212, 166, 218]",,0.0,,0.01,,0.51,,0.44,,0.0,,0.0,
0.01,,"[204, 211, 168, 217]",,0.0,,0.0,,0.64,,0.34,,0.0,,0.0,
0.02,,"[203, 207, 170, 218]",,0.0,,0.0,,0.72,,0.26,,0.0,,0.0,
0.01,,"[204, 205, 169, 219]",,0.0,,0.0,,0.63,,0.35,,0.0,,0.0,
0.0,,"[204, 201, 176, 224]",,0.0,,0.0,,0.78,,0.21,,0.0,,0.0,
0.03,,"[206, 200, 178, 226]",,0.0,,0.01,,0.6,,0.36,,0.0,,0.0,
0.03,,"[205, 199, 178, 227]",,0.0,,0.01,,0.55,,0.4,,0.0,,0.0,
0.01,,"[203, 203, 168, 217]",,0.0,,0.01,,0.51,,0.47,,0.0,,0.0,
0.01,,"[200, 201, 173, 221]",,0.0,,0.0,,0.63,,0.36,,0.0,,0.0,
0.01,,"[200, 201, 171, 219]",,0.0,,0.0,,0.45,,0.53,,0.0,,0.0,
0.01,,"[199, 200, 172, 220]",,0.0,,0.01,,0.34,,0.64,,0.01,,0.0,
0.01,,"[198, 200, 172, 220]",,0.0,,0.01,,0.41,,0.57,,0.01,,0.0,
0.01,,"[198, 199, 172, 221]",,0.0,,0.01,,0.42,,0.56,,0.01,,0.0,
0.01,,"[199, 200, 171, 221]",,0.0,,0.0,,0.43,,0.55,,0.01,,0.0,
0.0,,"[198, 199, 171, 221]",,0.0,,0.01,,0.41,,0.57,,0.01,,0.0,
0.0,,"[197, 203, 174, 222]",,0.0,,0.0,,0.71,,0.28,,0.0,,0.0,
0.01,,"[196, 201, 177, 224]",,0.0,,0.01,,0.44,,0.54,,0.01,,0.0,
0.01,0.19,"[193, 202, 174, 224]","[399, 377, 41, 51]",0.0,0.03,0.0,0.41,0.68,0.01,0.31,0.14,0.0,0.21,0.0,0.02
0.0,,"[188, 196, 174, 220]",,0.0,,0.0,,0.9,,0.1,,0.0,,0.0,
0.01,,"[182, 188, 176, 216]",,0.0,,0.0,,0.93,,0.06,,0.0,,0.0,
0.0,,"[177, 172, 169, 214]",,0.0,,0.0,,0.96,,0.03,,0.0,,0.0,
0.0,,"[177, 163, 173, 222]",,0.0,,0.0,,0.78,,0.22,,0.0,,0.0,
0.0,,"[176, 165, 174, 223]",,0.0,,0.0,,0.81,,0.19,,0.0,,0.0,
0.0,,"[176, 169, 176, 224]",,0.0,,0.0,,0.78,,0.21,,0.0,,0.0,
0.0,,"[176, 173, 175, 222]",,0.0,,0.0,,0.74,,0.25,,0.0,,0.0,
0.0,,"[171, 163, 183, 231]",,0.0,,0.0,,0.93,,0.07,,0.0,,0.0,
0.0,,"[171, 155, 186, 234]",,0.0,,0.0,,0.9,,0.09,,0.0,,0.0,
0.15,,"[170, 144, 174, 214]",,0.23,,0.28,,0.07,,0.04,,0.18,,0.05,
0.09,,"[172, 114, 180, 223]",,0.31,,0.2,,0.16,,0.06,,0.14,,0.04,
0.08,,"[180, 95, 178, 221]",,0.09,,0.09,,0.56,,0.09,,0.07,,0.02,
0.08,,"[189, 72, 181, 226]",,0.11,,0.12,,0.41,,0.11,,0.14,,0.03,
0.07,,"[194, 52, 184, 228]",,0.01,,0.04,,0.66,,0.13,,0.08,,0.01,
0.0,,"[197, 36, 190, 237]",,0.0,,0.0,,0.81,,0.18,,0.0,,0.0,
0.0,,"[201, 35, 181, 232]",,0.0,,0.0,,0.63,,0.36,,0.0,,0.0,
0.0,,"[200, 19, 194, 247]",,0.0,,0.0,,0.52,,0.47,,0.0,,0.0,
0.01,,"[199, 18, 184, 236]",,0.0,,0.0,,0.68,,0.3,,0.01,,0.0,
0.02,,"[200, 1, 186, 239]",,0.0,,0.01,,0.57,,0.39,,0.02,,0.0,
0.02,,"[198, 0, 188, 229]",,0.0,,0.01,,0.39,,0.55,,0.02,,0.0,
0.03,,"[198, 0, 193, 225]",,0.0,,0.02,,0.04,,0.82,,0.08,,0.0,
0.07,,"[213, 0, 185, 217]",,0.0,,0.02,,0.04,,0.78,,0.09,,0.0,
0.14,0.37,"[220, 0, 200, 219]","[447, 159, 44, 52]",0.0,0.0,0.06,0.4,0.02,0.06,0.65,0.09,0.12,0.07,0.0,0.0
0.13,,"[225, 0, 192, 218]",,0.0,,0.06,,0.02,,0.67,,0.12,,0.0,
0.07,,"[226, 0, 187, 219]",,0.0,,0.05,,0.02,,0.79,,0.07,,0.0,
0.07,,"[224, 0, 192, 228]",,0.0,,0.03,,0.04,,0.75,,0.11,,0.0,
0.03,,"[225, 0, 192, 233]",,0.0,,0.02,,0.11,,0.81,,0.04,,0.0,
0.11,,"[223, 0, 191, 241]",,0.01,,0.02,,0.24,,0.56,,0.06,,0.0,
0.04,,"[226, 17, 184, 237]",,0.0,,0.01,,0.38,,0.53,,0.03,,0.0,
0.11,,"[225, 17, 188, 246]",,0.0,,0.02,,0.14,,0.68,,0.05,,0.0,
0.02,,"[227, 34, 185, 233]",,0.0,,0.01,,0.09,,0.86,,0.02,,0.0,
0.02,,"[226, 32, 189, 238]",,0.0,,0.0,,0.17,,0.79,,0.01,,0.0,
0.04,,"[225, 35, 188, 240]",,0.0,,0.01,,0.2,,0.74,,0.01,,0.0,
0.05,,"[223, 37, 190, 240]",,0.0,,0.01,,0.22,,0.7,,0.02,,0.0,
0.1,,"[225, 48, 182, 237]",,0.0,,0.02,,0.32,,0.46,,0.09,,0.0,
0.08,,"[224, 64, 186, 233]",,0.02,,0.03,,0.6,,0.22,,0.05,,0.01,
0.11,,"[226, 82, 181, 224]",,0.03,,0.05,,0.63,,0.11,,0.05,,0.02,
0.1,,"[228, 95, 185, 232]",,0.01,,0.03,,0.31,,0.48,,0.06,,0.0,
0.05,,"[225, 110, 182, 229]",,0.0,,0.02,,0.42,,0.46,,0.04,,0.0,
0.04,,"[223, 120, 185, 232]",,0.0,,0.0,,0.23,,0.72,,0.02,,0.0,
0.06,,"[227, 126, 184, 230]",,0.0,,0.01,,0.17,,0.75,,0.02,,0.0,
0.12,,"[227, 121, 179, 233]",,0.0,,0.01,,0.12,,0.72,,0.03,,0.0,
0.05,,"[226, 116, 185, 232]",,0.0,,0.01,,0.09,,0.82,,0.03,,0.0,
0.09,,"[225, 113, 182, 234]",,0.0,,0.01,,0.09,,0.77,,0.04,,0.0,
0.06,,"[224, 119, 178, 229]",,0.0,,0.01,,0.08,,0.83,,0.02,,0.0,
0.06,,"[222, 118, 180, 231]",,0.0,,0.02,,0.1,,0.81,,0.02,,0.0,
0.05,,"[224, 119, 179, 234]",,0.0,,0.03,,0.25,,0.65,,0.03,,0.0,
0.05,,"[216, 115, 185, 236]",,0.0,,0.03,,0.16,,0.73,,0.03,,0.0,
0.09,,"[211, 112, 194, 240]",,0.0,,0.02,,0.21,,0.66,,0.03,,0.0,
0.07,,"[207, 110, 189, 234]",,0.0,,0.03,,0.1,,0.76,,0.03,,0.0,
